Entity,Code,Year,Carbon dioxide emissions from transport
Iran,IRN,2013,128.24001
Iran,IRN,2014,141.15
Iran,IRN,2015,139.1
Iran,IRN,2016,130.24001
Iran,IRN,2017,134.83
Iran,IRN,2018,139.26
Iran,IRN,2019,137.77
Iran,IRN,2020,128.83
Iraq,IRQ,2000,26.37
Iraq,IRQ,2001,28.83
Iraq,IRQ,2002,27.77
Iraq,IRQ,2003,21.57
Iraq,IRQ,2004,24.14
Iraq,IRQ,2005,26.05
Iraq,IRQ,2006,25.87
Iraq,IRQ,2007,25.7
Iraq,IRQ,2008,24.6
Iraq,IRQ,2009,25.27
Iraq,IRQ,2010,28.02
Iraq,IRQ,2011,29.86
Iraq,IRQ,2012,33.099998
Iraq,IRQ,2013,31.63
Iraq,IRQ,2014,25.06
Iraq,IRQ,2015,24.01
Iraq,IRQ,2016,24.52
Iraq,IRQ,2017,27.86
Iraq,IRQ,2018,32.48
Iraq,IRQ,2019,34.52
Iraq,IRQ,2020,28.77
Ireland,IRL,2000,10.39
Ireland,IRL,2001,10.88
Ireland,IRL,2002,11.08
Ireland,IRL,2003,11.28
Ireland,IRL,2004,11.99
Ireland,IRL,2005,12.67
Ireland,IRL,2006,13.88
Ireland,IRL,2007,14.21
Ireland,IRL,2008,13.39
Ireland,IRL,2009,12.14
Ireland,IRL,2010,11.34
Ireland,IRL,2011,10.76
Ireland,IRL,2012,10.55
Ireland,IRL,2013,10.71
Ireland,IRL,2014,11.13
Ireland,IRL,2015,11.28
Ireland,IRL,2016,11.94
Ireland,IRL,2017,11.67
Ireland,IRL,2018,11.84
Ireland,IRL,2019,11.83
Ireland,IRL,2020,9.94
Israel,ISR,2000,13.37
Israel,ISR,2001,13.28
Israel,ISR,2002,13.82
Israel,ISR,2003,14.29
Israel,ISR,2004,14.16
Israel,ISR,2005,13.47
Israel,ISR,2006,13.77
Israel,ISR,2007,14.5
Israel,ISR,2008,15.98
Israel,ISR,2009,15.7
Israel,ISR,2010,16.450001
Israel,ISR,2011,15.67
Israel,ISR,2012,17.15
Israel,ISR,2013,15.89
Israel,ISR,2014,16.030001
Israel,ISR,2015,16.93
Israel,ISR,2016,17.49
Israel,ISR,2017,17.96
Israel,ISR,2018,18.04
Israel,ISR,2019,18.13
Israel,ISR,2020,16.299999
Italy,ITA,2000,116.36
Italy,ITA,2001,118.49
Italy,ITA,2002,120.75
Italy,ITA,2003,121.81
Italy,ITA,2004,124.04
Italy,ITA,2005,122.96
Italy,ITA,2006,124.26
Italy,ITA,2007,124.73
Italy,ITA,2008,117.93
Italy,ITA,2009,111.84
Italy,ITA,2010,109.19
Italy,ITA,2011,109.15
Italy,ITA,2012,102.51
Italy,ITA,2013,100.72
Italy,ITA,2014,105.39
Italy,ITA,2015,103.01
Italy,ITA,2016,101.71
Italy,ITA,2017,97.61
Italy,ITA,2018,100.2
Italy,ITA,2019,100.92
Italy,ITA,2020,80.67
Japan,JPN,2000,261.54002
Japan,JPN,2001,263.62
Japan,JPN,2002,259.12
Japan,JPN,2003,256.84
Japan,JPN,2004,256.79002
Japan,JPN,2005,254.02
Japan,JPN,2006,250.13
Japan,JPN,2007,242.91
Japan,JPN,2008,233.81
Japan,JPN,2009,227.64
Japan,JPN,2010,228.65
Japan,JPN,2011,223.03
Japan,JPN,2012,220.7
Japan,JPN,2013,218.03
Japan,JPN,2014,211.97
Japan,JPN,2015,211.32
Japan,JPN,2016,208.9
Japan,JPN,2017,207.09
Japan,JPN,2018,204.62
Japan,JPN,2019,200.5
Japan,JPN,2020,180.71
Jordan,JOR,2000,3.59
Jordan,JOR,2001,3.71
Jordan,JOR,2002,3.77
Jordan,JOR,2003,3.83
Jordan,JOR,2004,4.4
Jordan,JOR,2005,4.85
Jordan,JOR,2006,4.77
Jordan,JOR,2007,5.09
Jordan,JOR,2008,4.63
Jordan,JOR,2009,5.15
Jordan,JOR,2010,5.22
Jordan,JOR,2011,5.33
Jordan,JOR,2012,6.87
Jordan,JOR,2013,7.11
Jordan,JOR,2014,7.05
Jordan,JOR,2015,7.83
Jordan,JOR,2016,8.3
Jordan,JOR,2017,9.12
Jordan,JOR,2018,9.01
Jordan,JOR,2019,8.48
Jordan,JOR,2020,7.13
Kazakhstan,KAZ,2000,9.38
Kazakhstan,KAZ,2001,8.2
Kazakhstan,KAZ,2002,9.13
Kazakhstan,KAZ,2003,8.65
Kazakhstan,KAZ,2004,9.23
Kazakhstan,KAZ,2005,9.55
Kazakhstan,KAZ,2006,10.53
Kazakhstan,KAZ,2007,12.1
Kazakhstan,KAZ,2008,13.78
Kazakhstan,KAZ,2009,12.44
Kazakhstan,KAZ,2010,13.15
Kazakhstan,KAZ,2011,13.47
Kazakhstan,KAZ,2012,14.59
Kazakhstan,KAZ,2013,13.73
Kazakhstan,KAZ,2014,14.41
Kazakhstan,KAZ,2015,15.35
Kazakhstan,KAZ,2016,15.95
Kazakhstan,KAZ,2017,15.37
Kazakhstan,KAZ,2018,17.47
Kazakhstan,KAZ,2019,16.34
Kazakhstan,KAZ,2020,20.69
Kuwait,KWT,2000,6.02
Kuwait,KWT,2001,6.13
Kuwait,KWT,2002,6.51
Kuwait,KWT,2003,7.08
Kuwait,KWT,2004,7.54
Kuwait,KWT,2005,8.16
Kuwait,KWT,2006,9.26
Kuwait,KWT,2007,9.57
Kuwait,KWT,2008,10.54
Kuwait,KWT,2009,11.73
Kuwait,KWT,2010,12.67
Kuwait,KWT,2011,12.15
Kuwait,KWT,2012,12.49
Kuwait,KWT,2013,13.15
Kuwait,KWT,2014,13.34
Kuwait,KWT,2015,14.02
Kuwait,KWT,2016,14.21
Kuwait,KWT,2017,15.02
Kuwait,KWT,2018,15.87
Kuwait,KWT,2019,16.049999
Kuwait,KWT,2020,13.0
Kyrgyzstan,KGZ,2000,0.85
Kyrgyzstan,KGZ,2001,0.89
Kyrgyzstan,KGZ,2002,0.78
Kyrgyzstan,KGZ,2003,0.94
Kyrgyzstan,KGZ,2004,1.18
Kyrgyzstan,KGZ,2005,1.09
Kyrgyzstan,KGZ,2006,1.16
Kyrgyzstan,KGZ,2007,1.75
Kyrgyzstan,KGZ,2008,1.96
Kyrgyzstan,KGZ,2009,2.27
Kyrgyzstan,KGZ,2010,1.98
Kyrgyzstan,KGZ,2011,2.77
Kyrgyzstan,KGZ,2012,3.94
Kyrgyzstan,KGZ,2013,3.94
Kyrgyzstan,KGZ,2014,3.15
Kyrgyzstan,KGZ,2015,2.67
Kyrgyzstan,KGZ,2016,3.27
Kyrgyzstan,KGZ,2017,1.84
Kyrgyzstan,KGZ,2018,1.49
Kyrgyzstan,KGZ,2019,1.13
Kyrgyzstan,KGZ,2020,1.38
Laos,LAO,2000,0.77
Laos,LAO,2001,0.87
Laos,LAO,2002,0.89
Laos,LAO,2003,0.93
Laos,LAO,2004,0.96
Laos,LAO,2005,1.0
